,app_status,pass_course,pass_courseDegreeChoice,pass_campus,pass_campusFirstChoice,pass_pursue,pass_otherUniversity,waitlist_course,waitlist_campus,dpwas_campus,campus
63,Yes,BS MATHEMATICS,3rd Degree,UP DILIMAN,Yes,not sure,,,,,clc
64,Yes,BS COMPUTER SCIENCE,1st Degree,UP BAGUIO,No,yes,,,,,clc
65,Yes,BS CHEMICAL ENGINEERING,1st Degree,UP DILIMAN,Yes,not sure,DE LA SALLE UNIVERSITY,,,,clc
66,No,,,,,,,,,,clc
67,DPWAS,,,,,,,,,UP MANILA,clc
68,Yes,BS PUBLIC HEALTH,1st Degree,UP MANILA,Yes,yes,,,,,clc
69,Yes,BS APPLIED PHYSICS,1st Degree,UP MANILA,Yes,no,DE LA SALLE UNIVERSITY,,,,clc
70,No,,,,,,,,,,clc
0,DPWAS,,,,,,,,,UP LOS BANOS,cvc
1,No,,,,,,,,,,cvc
2,No,,,,,,,,,,cvc
3,No,,,,,,,,,,cvc
4,No,,,,,,,,,,cvc
5,DPWAS,,,,,,,,,UP MANILA,cvc
6,Yes,BS APPLIED PHYSICS,3rd Degree,UP DILIMAN,Yes,yes,,,,,cvc
7,No,,,,,,,,,,cvc
8,No,,,,,,,,,,cvc
9,Yes,BS STATISTICS,1st Degree,UP LOS BANOS,Yes,no,,,,,cvc
10,No,,,,,,,,,,cvc
11,No,,,,,,,,,,cvc
12,Yes,BS PHYSICS,3rd Degree,UP DILIMAN,Yes,yes,,,,,cvc
13,No,,,,,,,,,,cvc
14,DPWAS,,,,,,,,,UP LOS BANOS,cvc
15,No,,,,,,,,,,cvc
16,DPWAS,,,,,,,,,UP LOS BANOS,cvc
17,No,,,,,,,,,,cvc
18,Yes,BS COMPUTER SCIENCE,1st Degree,UP LOS BANOS,No,yes,,,,,cvc
19,No,,,,,,,,,,cvc
20,No,,,,,,,,,,cvc
21,No,,,,,,,,,,cvc
22,No,,,,,,,,,,cvc
23,Waitlisted,,,,,,,BS SPEECH PATHOLOGY,UP MANILA,UP MANILA,cvc
24,Yes,BS COMPUTER SCIENCE,5th Degree,UP LOS BANOS,No,yes,,,,,cvc
25,No,,,,,,,,,,cvc
26,No,,,,,,,,,,cvc
27,Yes,BS AGRICULTURAL BIOTECHNOLOGY,3rd Degree,UP LOS BANOS,No,not sure,,,,,cvc
28,No,,,,,,,,,,cvc
29,No,,,,,,,,,,cvc
30,No,,,,,,,,,,cvc
31,No,,,,,,,,,,cvc
32,No,,,,,,,,,,cvc
33,Waitlisted,,,,,,,BS SPEECH PATHOLOGY,UP MANILA,UP MANILA,cvc
34,Yes,BS APPLIED PHYSICS,2nd Degree,UP LOS BANOS,No,not sure,,,,,cvc
35,DPWAS,,,,,,,,,UP LOS BANOS,cvc
36,No,,,,,,,,,,cvc
37,DPWAS,,,,,,,,,UP MANILA,cvc
38,No,,,,,,,,,,cvc
39,No,,,,,,,,,,cvc
40,No,,,,,,,,,,cvc
41,No,,,,,,,,,,cvc
42,Yes,BS APPLIED PHYSICS,1st Degree,UP LOS BANOS,No,not sure,,,,,cvc
43,No,,,,,,,,,,cvc
44,No,,,,,,,,,,cvc
45,No,,,,,,,,,,cvc
46,Yes,BS NUTRITION,2nd Degree,UP LOS BANOS,No,not sure,University of Santo Tomas (UST),,,,cvc
47,No,,,,,,,,,,cvc
48,Yes,BS METALLURGICAL ENGINEERING,2nd Degree,UP DILIMAN,Yes,no,ATENEO DE MANILA UNIVERSITY,,,,cvc
49,No,,,,,,,,,,cvc
50,Waitlisted,,,,,,,BS SPEECH PATHOLOGY,UP MANILA,UP MANILA,cvc
51,No,,,,,,,,,,cvc
52,No,,,,,,,,,,cvc
53,Yes,BS FOOD TECHNOLOGY,3rd Degree,UP LOS BANOS,No,not sure,,,,,cvc
54,DPWAS,,,,,,,,,UP MANILA,cvc
55,No,,,,,,,,,,cvc
56,No,,,,,,,,,,cvc
57,No,,,,,,,,,,cvc
58,No,,,,,,,,,,cvc
59,No,,,,,,,,,,cvc
60,Yes,BS VETERINARY MEDICINE,,UP LOS BANOS,No,not sure,IDK,,,,cvc
61,No,,,,,,,,,,cvc
62,No,,,,,,,,,,cvc
63,Yes,BS BIOLOGY,1st Degree,UP LOS BANOS,No,not sure,DE LA SALLE UNIVERSITY,,,,cvc
64,Yes,BS MATERIALS ENGINEERING,3rd Degree,UP DILIMAN,Yes,not sure,NOT SURE,,,,cvc
65,No,,,,,,,,,,cvc
66,Yes,BS FAMILY LIFE AND CHILD DEVELOPMENT,3rd Degree,UP DILIMAN,Yes,no,ATENEO DE MANILA UNIVERSITY,,,,cvc
67,No,,,,,,,,,,cvc
68,No,,,,,,,,,,cvc
69,No,,,,,,,,,,cvc
0,Yes,BS ELECTRICAL ENGINEERING,1st Degree,UP DILIMAN,Yes,yes,,,,,evc
1,Yes,BS ELECTRONICS ENGINEERING,1st Degree,UP DILIMAN,Yes,yes,,,,,evc
2,Yes,BS FISHERIES,5th Degree,UP VISAYAS,No,no,ATENEO DE MANILA UNIVERSITY,,,,evc
3,DPWAS,,,,,,,,,UP ILOILO,evc
4,Yes,BS MOLECULAR BIOLOGY AND BIOTECHNOLOGY,1st Degree,UP DILIMAN,Yes,no,ATENEO DE MANILA UNIVERSITY,,,,evc
5,Yes,BS BIOLOGY,1st Degree,UP VISAYAS,No,yes,,,,,evc
6,Yes,BS PHYSICS,2nd Degree,UP DILIMAN,Yes,no,--,,,,evc
7,DPWAS,,,,,,,,,UP DILIMAN,evc
8,Yes,BS GEODETIC ENGINEERING,3rd Degree,UP DILIMAN,Yes,yes,,,,,evc
9,No,,,,,,,,,,evc
10,Yes,BS ELECTRONICS ENGINEERING,1st Degree,UP DILIMAN,Yes,no,ATENEO DE MANILA UNIVERSITY,,,,evc
