pisay_campus,pisay_lat,pisay_long,up_campus,up_lat,up_long,distBetween,quartile
clc,15.19181375,120.53440968037214,UP VISAYAS,10.6983127,122.55525493010288,543.3059317347169,Q3
brc,13.69487845,123.46644487612696,UP DILIMAN,14.65422435,121.0663606748634,279.9883024494914,Q2
brc,13.69487845,123.46644487612696,UP BAGUIO,16.405685300000002,120.59833260947963,430.1788783165183,Q2
brc,13.69487845,123.46644487612696,UP CEBU,10.322567450000001,123.8988044071532,376.0125232263623,Q2
brc,13.69487845,123.46644487612696,UP LOS BANOS,14.16052895,121.24256647998524,245.78774631555677,Q2
brc,13.69487845,123.46644487612696,UP MANILA,14.57592705,120.98643716901391,284.95507248747447,Q2
brc,13.69487845,123.46644487612696,UP MINDANAO,7.08510625,125.4857318696514,763.7857525392626,Q4
brc,13.69487845,123.46644487612696,UP VISAYAS,10.6983127,122.55525493010288,346.00148824868126,Q2
irc,17.62419305,120.4009962921894,UP DILIMAN,14.65422435,121.0663606748634,336.27262876529403,Q2
irc,17.62419305,120.4009962921894,UP BAGUIO,16.405685300000002,120.59833260947963,136.47867020037535,Q1
irc,17.62419305,120.4009962921894,UP CEBU,10.322567450000001,123.8988044071532,891.754432498971,Q4
irc,17.62419305,120.4009962921894,UP LOS BANOS,14.16052895,121.24256647998524,393.7312637787098,Q2
irc,17.62419305,120.4009962921894,UP MANILA,14.57592705,120.98643716901391,343.08440316686716,Q2
irc,17.62419305,120.4009962921894,UP MINDANAO,7.08510625,125.4857318696514,1290.0344724903814,Q4
irc,17.62419305,120.4009962921894,UP VISAYAS,10.6983127,122.55525493010288,800.759141884411,Q4
crc,8.9691722,125.59470532411294,UP DILIMAN,14.65422435,121.0663606748634,799.2514851279664,Q4
crc,8.9691722,125.59470532411294,UP BAGUIO,16.405685300000002,120.59833260947963,985.3269834099285,Q4
crc,8.9691722,125.59470532411294,UP CEBU,10.322567450000001,123.8988044071532,238.85669013717535,Q2
crc,8.9691722,125.59470532411294,UP LOS BANOS,14.16052895,121.24256647998524,744.9497295993539,Q3
crc,8.9691722,125.59470532411294,UP MANILA,14.57592705,120.98643716901391,797.9495725534173,Q4
crc,8.9691722,125.59470532411294,UP MINDANAO,7.08510625,125.4857318696514,208.71616499148507,Q2
crc,8.9691722,125.59470532411294,UP VISAYAS,10.6983127,122.55525493010288,384.3586702855744,Q2
cvc,16.50307615,121.10783222628521,UP DILIMAN,14.65422435,121.0663606748634,204.63209733829348,Q1
cvc,16.50307615,121.10783222628521,UP BAGUIO,16.405685300000002,120.59833260947963,55.466176543791846,Q1
cvc,16.50307615,121.10783222628521,UP CEBU,10.322567450000001,123.8988044071532,747.5417556714818,Q3
cvc,16.50307615,121.10783222628521,UP LOS BANOS,14.16052895,121.24256647998524,259.61112196587766,Q2
cvc,16.50307615,121.10783222628521,UP MANILA,14.57592705,120.98643716901391,213.64418704112975,Q2
cvc,16.50307615,121.10783222628521,UP MINDANAO,7.08510625,125.4857318696514,1145.6455434527968,Q4
cvc,16.50307615,121.10783222628521,UP VISAYAS,10.6983127,122.55525493010288,661.0263049174486,Q3
wvc,10.7532767,122.5882371,UP DILIMAN,14.65422435,121.0663606748634,462.11481618057815,Q3
wvc,10.7532767,122.5882371,UP BAGUIO,16.405685300000002,120.59833260947963,661.3727757121545,Q3
wvc,10.7532767,122.5882371,UP CEBU,10.322567450000001,123.8988044071532,151.15107519277208,Q1
wvc,10.7532767,122.5882371,UP LOS BANOS,14.16052895,121.24256647998524,404.31742161851076,Q2
wvc,10.7532767,122.5882371,UP MANILA,14.57592705,120.98643716901391,457.2760529572428,Q3
wvc,10.7532767,122.5882371,UP MINDANAO,7.08510625,125.4857318696514,515.8595850932794,Q3
wvc,10.7532767,122.5882371,UP VISAYAS,10.6983127,122.55525493010288,7.069612977722489,Q1
smc,7.082785250000001,125.5087457955344,UP DILIMAN,14.65422435,121.0663606748634,967.9700893437143,Q4
smc,7.082785250000001,125.5087457955344,UP BAGUIO,16.405685300000002,120.59833260947963,1161.6399463826885,Q4
smc,7.082785250000001,125.5087457955344,UP CEBU,10.322567450000001,123.8988044071532,399.71576749952965,Q2
smc,7.082785250000001,125.5087457955344,UP LOS BANOS,14.16052895,121.24256647998524,911.3386695062322,Q4
smc,7.082785250000001,125.5087457955344,UP MANILA,14.57592705,120.98643716901391,964.9626738035021,Q4
smc,7.082785250000001,125.5087457955344,UP MINDANAO,7.08510625,125.4857318696514,2.555395938511091,Q1
smc,7.082785250000001,125.5087457955344,UP VISAYAS,10.6983127,122.55525493010288,515.1691708331639,Q3
cvisc,9.898906449999998,123.58574062071332,UP DILIMAN,14.65422435,121.0663606748634,593.1349056168629,Q3
cvisc,9.898906449999998,123.58574062071332,UP BAGUIO,16.405685300000002,120.59833260947963,789.2883060000161,Q4
cvisc,9.898906449999998,123.58574062071332,UP CEBU,10.322567450000001,123.8988044071532,58.07963822922627,Q1
cvisc,9.898906449999998,123.58574062071332,UP LOS BANOS,14.16052895,121.24256647998524,536.0192303694107,Q3
cvisc,9.898906449999998,123.58574062071332,UP MANILA,14.57592705,120.98643716901391,589.6044024333545,Q3
