app_status,pass_course,pass_courseDegreeChoice,pass_campus,pass_campusFirstChoice,pass_pursue,pass_otherUniversity,waitlist_course,waitlist_campus,dpwas_campus,campus
Yes,BS MECHANICAL ENGINEERING,First Choice,UP DILIMAN,Yes,,,,,,main
Yes,,First Choice,,Yes,,,,,,main
Yes,BS CHEMICAL ENGINEERING,First Choice,UP DILIMAN,Yes,,,,,,main
No,,,,,,,,,,main
Yes,BS PHYSICS,First Choice,UP DILIMAN,Yes,,,,,,main
Yes,BS BIOLOGY,First Choice,UPLB,No,,,,,,main
Yes,BS COMPUTER ENGINEERING,Second Choice,UP DILIMAN,Yes,,,,,,main
No,,,,,,,,,,main
Yes,BS CIVIL ENGINEERING,First Choice,UP DILIMAN,Yes,,,,,,main
DPWAS,,,UPLB,No,,,,,,main
Yes,BS CIVIL ENGINEERING,First Choice,UP DILIMAN,Yes,,,,,,main
No,,,,,,,,,,main
No,N/A,,N/a,,,,,,,main
Yes,BS APPLIED PHYSICS,Second Choice,UP DILIMAN,Yes,,,,,,main
Yes,BS MATERIALS ENGINEERING,First Choice,UP DILIMAN,Yes,,,,,,main
Yes,BS CIVIL ENGINEERING,First Choice,UP DILIMAN,Yes,,,,,,main
DPWAS,,,,No,,,,,,main
Yes,BS CIVIL ENGINEERING,First Choice,UP DILIMAN,Yes,,,,,,main
Yes,BS METALLURGICAL ENGINEERING,Third Choice,UP DILIMAN,Yes,,,,,,main
Yes,BS COMPUTER SCIENCE,First Choice,UP DILIMAN,Yes,,,,,,main
Yes,BS ELECTRICAL ENGINEERING,First Choice,UP DILIMAN,Yes,,,,,,main
Yes,BS CHEMISTRY,First Choice,UPLB,No,,,,,,main
Yes,BS CHEMISTRY,Second Choice,UP DILIMAN,Yes,,,,,,main
No,,,,,,,,,,main
Yes,BS BIOLOGY,First Choice,UP MANILA,Yes,,,,,,main
DPWAS,,,UP MANILA,Yes,,,,,,main
Yes,BS BUSINESS ADMINISTRATION,First Choice,UP DILIMAN,Yes,,,,,,main
Yes,BS ELECTRONICS ENGINEERING,Second Choice,UP DILIMAN,Yes,,,,,,main
No,,,,,,,,,,main
Yes,BS PUBLIC HEALTH,First Choice,UP MANILA,Yes,,,,,,main
Yes,BS MATERIALS ENGINEERING,Third Choice,UP DILIMAN,Yes,,,,,,main
Yes,BS ELECTRONICS ENGINEERING,Second Choice,UP DILIMAN,Yes,,,,,,main
No,,,,,,,,,,main
